SampleID	SSPOOL	specimen_id	Pools
MADH030_ES033_8071088555_A52_S280_L001	SSPOOL4	650720	A52
MADH052_ES185_8071121124_A52_S39	SSPOOL13	650725	A52
MADH081_ES185_8071121124_A52_S376	SSPOOL15	650725	A52
MADH122_ES185_8073811626_A52_S139	SSPOOL25	650725	A52
MADH100_ES284_8071088234_A52_S330	SSPOOL19	650730	A52
MADH046_ES284_8071088234_A52_S141	SSPOOL8	650730	A52
MADH046_ES284_8071088234_A52_S237	SSPOOL8	650730	A52
MADH053_ES476_8071120031_A52_S136	SSPOOL10	650731	A52
MADH052_ES265_8071122249_A52_S40	SSPOOL13	650733	A52
MADH052_ES269_8071088685_A52_S34	SSPOOL13	650737	A52
MADH081_ES269_8071088685_A52_S381	SSPOOL15	650737	A52
MADH030_ES157_8071121532_A52_S321_L001	SSPOOL4	650738	A52
MADH052_ES410_8071120598_A52_S55	SSPOOL13	650741	A52
MADH113_ES318_8071121446_A52_S89	SSPOOL22	650744	A52
MADH052_ES474_8071098068_A52_S68	SSPOOL13	650745	A52
MADH084_ES474_8071098068_A52_S291	SSPOOL16	650745	A52
MADH113_ES145_8071120746_A52_S79	SSPOOL22	650746	A52
MADH030_ES051_8071088253_A52_S289_L001	SSPOOL4	650749	A52
MADH046_ES274_8071088240_A52_S152	SSPOOL8	650753	A52
MADH046_ES274_8071088240_A52_S248	SSPOOL8	650753	A52
MADH030_ES088_8071088148_A52_S309_L001	SSPOOL4	650761	A52
MADH046_ES261_8071088489_A52_S139	SSPOOL8	650765	A52
MADH046_ES261_8071088489_A52_S235	SSPOOL8	650765	A52
MADH078_650812_8071093889_A52_S161	SSPOOL15	650812	A52
MADH078_650812_8071094025_A52_S128	SSPOOL15	650812	A52
MADH078_650813_8071093927_A52_S136	SSPOOL15	650813	A52
MADH078_650813_8071094391_A52_S165	SSPOOL15	650813	A52
MADH102_650813_8071093927_A52_S146	SSPOOL20	650813	A52
MADH078_652108_8071094505_A52_S150	SSPOOL15	652108	A52
MADH078_652108_8071093745_A52_S119	SSPOOL15	652108	A52
MADH078_652113_8071093813_A52_S137	SSPOOL15	652113	A52
MADH078_652113_8071093684_A52_S166	SSPOOL15	652113	A52
MADH078_652114_8071093662_A52_S144	SSPOOL15	652114	A52
MADH078_652114_8071093650_A52_S171	SSPOOL15	652114	A52
MADH078_652557_8071093807_A52_S151	SSPOOL15	652557	A52
MADH078_652559_8071093678_A52_S138	SSPOOL15	652559	A52
